Période,Kalman_Smooth_1,Kalman_Smooth_2
1981-05-01,-12.73975576611274,-81.7945418629899
1981-06-01,-12.740441146595186,-81.79416207181389
1981-07-01,-12.735936457794434,-81.79665834150093
1981-08-01,-12.735052162511275,-81.79714838297438
1981-09-01,-12.734636062315074,-81.79737896834781
1981-10-01,-12.733665143238499,-81.79791700558725
1981-11-01,-12.732350016487432,-81.79864578544822
1981-12-01,-12.731735826728231,-81.79898614818892
1982-01-01,-12.728117242357543,-81.80099138444479
1982-02-01,-12.728561640613641,-81.80074512337609
1982-03-01,-12.731168853341874,-81.79930033955962
1982-04-01,-12.729947267845452,-81.7999772768082
1982-05-01,-12.728952112831504,-81.80052874288475
1982-06-01,-12.729404189372847,-81.80027822431244
1982-07-01,-12.730703437502623,-81.79955824336405
1982-08-01,-12.731716904867326,-81.79899662323119
1982-09-01,-12.73432449088967,-81.79755163243608
1982-10-01,-12.732597787193525,-81.79850848398993
1982-11-01,-12.729925612064646,-81.79998927349415
1982-12-01,-12.729014651364977,-81.80049408532741
1983-01-01,-12.729912341624367,-81.79999663178774
1983-02-01,-12.730324259559474,-81.79976836544621
1983-03-01,-12.730565269461902,-81.79963480452147
1983-04-01,-12.732870381558362,-81.79835742509083
1983-05-01,-12.734098306470537,-81.79767696712042
1983-06-01,-12.733868030284363,-81.79780457631108
1983-07-01,-12.7317620039728,-81.79897163010739
1983-08-01,-12.731259421350872,-81.79925013841697
1983-09-01,-12.732123208732373,-81.79877148376958
1983-10-01,-12.726318403107646,-81.8019882104488
1983-11-01,-12.726242133310592,-81.8020304859208
1983-12-01,-12.726694875834616,-81.80177961352362
1984-01-01,-12.7194746370073,-81.80578070269587
1984-02-01,-12.719069707620307,-81.80600510927023
1984-03-01,-12.718633846137726,-81.80624665213348
1984-04-01,-12.713797997577682,-81.80892643360121
1984-05-01,-12.713903377928562,-81.80886804724463
1984-06-01,-12.713649203766272,-81.80900890765939
1984-07-01,-12.708571454251853,-81.81182274000595
1984-08-01,-12.70813854684081,-81.81206264477638
1984-09-01,-12.708481617679894,-81.8118725381555
1984-10-01,-12.705972840848327,-81.81326277505829
1984-11-01,-12.705328800746033,-81.8136196741224
1984-12-01,-12.705504518276433,-81.81352230185608
1985-01-01,-12.705394209025984,-81.81358343095647
1985-02-01,-12.704350190494262,-81.8141619760565
1985-03-01,-12.703034251052308,-81.81489120654697
1985-04-01,-12.702353924555869,-81.81526821071769
1985-05-01,-12.702834815382824,-81.81500173029227
1985-06-01,-12.701041082642568,-81.81599572366736
1985-07-01,-12.701840585129956,-81.81555268359435
1985-08-01,-12.701742854064078,-81.81560684385079
1985-09-01,-12.699629175801329,-81.81677813645973
1985-10-01,-12.700196184654342,-81.8164639351079
1985-11-01,-12.699160399473424,-81.81703791489022
1985-12-01,-12.698577704707613,-81.81736081390437
1986-01-01,-12.700075609558885,-81.8165307832633
1986-02-01,-12.684668512601494,-81.82506866983692
1986-03-01,-12.620178931585302,-81.86080534977053
1986-04-01,-12.570538582529554,-81.8883134224024
1986-05-01,-12.561255852642486,-81.89345747442948
1986-06-01,-12.572976141710102,-81.88696276730994
1986-07-01,-12.565436220376085,-81.89114097394271
1986-08-01,-12.55385045342901,-81.89756120410091
1986-09-01,-12.54062758672949,-81.90488855237436
1986-10-01,-12.567440495365158,-81.89003027000982
1986-11-01,-12.610107255923703,-81.86638664609754
1986-12-01,-12.620554784072617,-81.86059711482159
1987-01-01,-12.622487469817393,-81.8595260794555
1987-02-01,-12.638627497119876,-81.85058222448382
1987-03-01,-12.611419002559593,-81.86565962353298
1987-04-01,-12.610829997812218,-81.86598605004434
1987-05-01,-12.625727514155722,-81.85773063025411
1987-06-01,-12.65039990435188,-81.84405852215426
1987-07-01,-12.654233555690922,-81.84193401618343
