Période,Kalman_Filter_1,Kalman_Filter_2
1980-09-01,-12.749952216715204,-81.78889091309654
1980-10-01,-12.748873049101494,-81.78948893676463
1980-11-01,-12.747417310272043,-81.79029563860905
1980-12-01,-12.749039432455769,-81.78939674019482
1981-01-01,-12.744231847377158,-81.79206086523182
1981-02-01,-12.744792619708786,-81.79175012193879
1981-03-01,-12.745611202752269,-81.79129650189012
1981-04-01,-12.740950082276493,-81.79387946539268
1981-05-01,-12.739428140137752,-81.79472286095842
1981-06-01,-12.740143976127916,-81.79432618244125
1981-07-01,-12.735618140854555,-81.79683417766164
1981-08-01,-12.734731118209925,-81.79732573143156
1981-09-01,-12.734318285636762,-81.79755450493103
1981-10-01,-12.733349411152004,-81.7980914084551
1981-11-01,-12.732030201081546,-81.7988224524785
1981-12-01,-12.731433665842868,-81.79915302592032
1982-01-01,-12.72779131483055,-81.80117144057765
1982-02-01,-12.728223003812769,-81.8009322267058
1982-03-01,-12.730852632862405,-81.7994750132249
1982-04-01,-12.729629747713968,-81.80015267111428
1982-05-01,-12.728626119873024,-81.80070883530314
1982-06-01,-12.729073211427671,-81.80046108086991
1982-07-01,-12.730374105779672,-81.7997401871106
1982-08-01,-12.731378188987964,-81.7991837704254
1982-09-01,-12.734011159202728,-81.79772470430422
1982-10-01,-12.732290048703732,-81.79867845446445
1982-11-01,-12.729607598139173,-81.80016494160508
1982-12-01,-12.72868604057302,-81.80067562931463
1983-01-01,-12.729586561044844,-81.80017660644853
1983-02-01,-12.72999947237992,-81.79994778927647
1983-03-01,-12.730228357537106,-81.7998209514309
1983-04-01,-12.732539737905347,-81.79854009630354
1983-05-01,-12.733776194386792,-81.79785490764986
1983-06-01,-12.733556936823721,-81.79797640709762
1983-07-01,-12.731441547602621,-81.79914865254447
1983-08-01,-12.730930954940542,-81.79943160235709
1983-09-01,-12.731833874271711,-81.79893124934917
1983-10-01,-12.725995576412688,-81.80216654718495
1983-11-01,-12.72591620251572,-81.80221054385605
1983-12-01,-12.726413984027351,-81.80193469768916
1984-01-01,-12.719153906736059,-81.80595787694628
1984-02-01,-12.718749168814888,-81.80618217735228
1984-03-01,-12.718339151388129,-81.80640938988324
